date,holiday
14-Apr,Dr Ambedkar Jayanti
18-Apr,Parashurama Jayanti
29-May,Buddha Purnima
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
26-Aug,Raksha Bandhan
03-Sep,Janmashtami
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
19-Oct,Dussehra
07-Nov,Deewali
14-Nov,Chhath Puja
21-Nov,Id-e-Milad
25-Dec,Christmas Day
_Uttarakhand,
DATE,HOLIDAY
26-Jan,Republic Day
07-Mar,Maha Shivratri
24-Mar,Holi
25-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
15-Apr,Ram Navami
19-Apr,Mahavir Jayanti
21-May,Buddha Purnima
01-Jul,Jumat-ul-Wida
06-Jul,Idul Fitr
15-Aug,Independence Day
18-Aug,Raksha Bandhan
25-Aug,Janmashtami
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
30-Oct,Deewali
07-Nov,Chhath Puja
14-Nov,Guru Nanak Birthday
12-Dec,Id-e-Milad
25-Dec,Christmas Day
_West Bengal,
Date,Holiday
12-Jan,Birthday of Swami Vivekananda
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
13-Feb,Sree Panchami
23-Mar,Doljatra
25-Mar,Good Friday
14-Apr,Bengali New Year
14-Apr,Dr Ambedkar Jayanti
01-May,May Day
08-May,Birthday of Rabindra Nath Tagore
06-Jul,Idul Fitr
07-Jul,Ramzan
15-Aug,Independence Day
12-Sep,Idul Juha
30-Sep,Mahalaya
02-Oct,Mahatma Gandhi Birthday
08-Oct,Maha Saptami
08-Oct,Panchami
09-Oct,Durgastami
10-Oct,Navami of Durga Puja
11-Oct,Dussehra
12-Oct,Muharram (10th Day)
15-Oct,Lakshmi Puja
14-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
